TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2020,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,13.98972906
2021,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,16.666666667
2022,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,15.812954395
2023,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,10.848249027
2005,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.788849348
2006,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,17.8
2007,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.369134515
2008,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.06653426
2009,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.995896693
2010,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.285847735
2019,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,4.7619047619
2016,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,1.1956521739
2020,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.25
2021,BRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,0
